id,name,type,official_count,fds_count
BK,Bundeskanzleramt,total,786,774
BK,Bundeskanzleramt,gewaehrt,754,598
BK,Bundeskanzleramt,teilweise_gewaehrt,17,14
BK,Bundeskanzleramt,abgelehnt,7,1
BK,Bundeskanzleramt,sonstige,9,161
BK GB,Bundeskanzleramt (GB),total,4,1
BK GB,Bundeskanzleramt (GB),gewaehrt,0,0
BK GB,Bundeskanzleramt (GB),teilweise_gewaehrt,0,0
BK GB,Bundeskanzleramt (GB),abgelehnt,4,1
BK GB,Bundeskanzleramt (GB),sonstige,0,0
BMAS,Bundesministerium für Arbeit und Soziales,total,27,30
BMAS,Bundesministerium für Arbeit und Soziales,gewaehrt,14,11
BMAS,Bundesministerium für Arbeit und Soziales,teilweise_gewaehrt,4,0
BMAS,Bundesministerium für Arbeit und Soziales,abgelehnt,12,3
BMAS,Bundesministerium für Arbeit und Soziales,sonstige,1,16
BMAS GB,Bundesministerium für Arbeit und Soziales (GB),total,332,11
BMAS GB,Bundesministerium für Arbeit und Soziales (GB),gewaehrt,161,2
BMAS GB,Bundesministerium für Arbeit und Soziales (GB),teilweise_gewaehrt,6,2
BMAS GB,Bundesministerium für Arbeit und Soziales (GB),abgelehnt,144,1
BMAS GB,Bundesministerium für Arbeit und Soziales (GB),sonstige,20,6
AA,Auswärtiges Amt,total,147,9
AA,Auswärtiges Amt,gewaehrt,63,3
AA,Auswärtiges Amt,teilweise_gewaehrt,17,0
AA,Auswärtiges Amt,abgelehnt,7,2
AA,Auswärtiges Amt,sonstige,50,4
AA GB,Auswärtiges Amt (GB),total,0,0
AA GB,Auswärtiges Amt (GB),gewaehrt,0,0
AA GB,Auswärtiges Amt (GB),teilweise_gewaehrt,0,0
AA GB,Auswärtiges Amt (GB),abgelehnt,0,0
AA GB,Auswärtiges Amt (GB),sonstige,0,0
BMI,Bundesministerium des Innern,total,149,26
BMI,Bundesministerium des Innern,gewaehrt,48,10
BMI,Bundesministerium des Innern,teilweise_gewaehrt,75,2
BMI,Bundesministerium des Innern,abgelehnt,28,3
BMI,Bundesministerium des Innern,sonstige,26,11
BMI GB,Bundesministerium des Innern (GB),total,70,29
BMI GB,Bundesministerium des Innern (GB),gewaehrt,24,6
BMI GB,Bundesministerium des Innern (GB),teilweise_gewaehrt,10,6
BMI GB,Bundesministerium des Innern (GB),abgelehnt,15,2
BMI GB,Bundesministerium des Innern (GB),sonstige,20,15
BMJ,Bundesministerium der Justiz,total,57,13
BMJ,Bundesministerium der Justiz,gewaehrt,27,5
BMJ,Bundesministerium der Justiz,teilweise_gewaehrt,14,0
BMJ,Bundesministerium der Justiz,abgelehnt,14,0
BMJ,Bundesministerium der Justiz,sonstige,9,8
BMJ GB,Bundesministerium der Justiz (GB),total,41,5
BMJ GB,Bundesministerium der Justiz (GB),gewaehrt,21,3
BMJ GB,Bundesministerium der Justiz (GB),teilweise_gewaehrt,3,0
BMJ GB,Bundesministerium der Justiz (GB),abgelehnt,2,1
BMJ GB,Bundesministerium der Justiz (GB),sonstige,11,1
BMF,Bundesministerium der Finanzen,total,64,25
BMF,Bundesministerium der Finanzen,gewaehrt,30,1
BMF,Bundesministerium der Finanzen,teilweise_gewaehrt,9,2
BMF,Bundesministerium der Finanzen,abgelehnt,22,4
BMF,Bundesministerium der Finanzen,sonstige,6,18
BMF GB,Bundesministerium der Finanzen (GB),total,2903,3
BMF GB,Bundesministerium der Finanzen (GB),gewaehrt,689,0
BMF GB,Bundesministerium der Finanzen (GB),teilweise_gewaehrt,1460,1
BMF GB,Bundesministerium der Finanzen (GB),abgelehnt,149,0
BMF GB,Bundesministerium der Finanzen (GB),sonstige,100,2
BMWi,Bundesministerium für Wirtschaft und Technologie,total,125,20
BMWi,Bundesministerium für Wirtschaft und Technologie,gewaehrt,30,5
BMWi,Bundesministerium für Wirtschaft und Technologie,teilweise_gewaehrt,24,3
BMWi,Bundesministerium für Wirtschaft und Technologie,abgelehnt,42,3
BMWi,Bundesministerium für Wirtschaft und Technologie,sonstige,14,9
BMWi GB,Bundesministerium für Wirtschaft und Technologie (GB),total,437,14
BMWi GB,Bundesministerium für Wirtschaft und Technologie (GB),gewaehrt,365,8
BMWi GB,Bundesministerium für Wirtschaft und Technologie (GB),teilweise_gewaehrt,17,1
BMWi GB,Bundesministerium für Wirtschaft und Technologie (GB),abgelehnt,36,3
BMWi GB,Bundesministerium für Wirtschaft und Technologie (GB),sonstige,11,2
BMELV,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",total,7,3
BMELV,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",gewaehrt,5,1
BMELV,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",teilweise_gewaehrt,1,1
BMELV,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",abgelehnt,0,0
BMELV,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",sonstige,0,1
BMELV GB,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz (GB)",total,40,3
BMELV GB,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz (GB)",gewaehrt,38,2
BMELV GB,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz (GB)",teilweise_gewaehrt,1,0
BMELV GB,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz (GB)",abgelehnt,0,0
BMELV GB,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz (GB)",sonstige,3,1
BMVg,Bundesministerium der Verteidigung,total,47,15
BMVg,Bundesministerium der Verteidigung,gewaehrt,33,4
BMVg,Bundesministerium der Verteidigung,teilweise_gewaehrt,6,1
BMVg,Bundesministerium der Verteidigung,abgelehnt,3,1
BMVg,Bundesministerium der Verteidigung,sonstige,6,9
BMVg GB,Bundesministerium der Verteidigung (GB),total,21,1
BMVg GB,Bundesministerium der Verteidigung (GB),gewaehrt,17,1
BMVg GB,Bundesministerium der Verteidigung (GB),teilweise_gewaehrt,0,0
BMVg GB,Bundesministerium der Verteidigung (GB),abgelehnt,0,0
BMVg GB,Bundesministerium der Verteidigung (GB),sonstige,2,0
BMFSFJ,"Bundesministerium für Familie, Senioren, Frauen und Jugend",total,14,3
BMFSFJ,"Bundesministerium für Familie, Senioren, Frauen und Jugend",gewaehrt,7,1
BMFSFJ,"Bundesministerium für Familie, Senioren, Frauen und Jugend",teilweise_gewaehrt,2,1
BMFSFJ,"Bundesministerium für Familie, Senioren, Frauen und Jugend",abgelehnt,3,0
BMFSFJ,"Bundesministerium für Familie, Senioren, Frauen und Jugend",sonstige,1,1
BMFSFJ GB,"Bundesministerium für Familie, Senioren, Frauen und Jugend (GB)",total,19,0
BMFSFJ GB,"Bundesministerium für Familie, Senioren, Frauen und Jugend (GB)",gewaehrt,5,0
BMFSFJ GB,"Bundesministerium für Familie, Senioren, Frauen und Jugend (GB)",teilweise_gewaehrt,6,0
BMFSFJ GB,"Bundesministerium für Familie, Senioren, Frauen und Jugend (GB)",abgelehnt,6,0
BMFSFJ GB,"Bundesministerium für Familie, Senioren, Frauen und Jugend (GB)",sonstige,1,0
BMG,Bundesministerium für Gesundheit,total,22,7
BMG,Bundesministerium für Gesundheit,gewaehrt,11,0
BMG,Bundesministerium für Gesundheit,teilweise_gewaehrt,3,1
BMG,Bundesministerium für Gesundheit,abgelehnt,4,1
BMG,Bundesministerium für Gesundheit,sonstige,4,5
BMG GB,Bundesministerium für Gesundheit (GB),total,308,12
BMG GB,Bundesministerium für Gesundheit (GB),gewaehrt,230,8
BMG GB,Bundesministerium für Gesundheit (GB),teilweise_gewaehrt,33,2
BMG GB,Bundesministerium für Gesundheit (GB),abgelehnt,24,0
BMG GB,Bundesministerium für Gesundheit (GB),sonstige,11,2
BMVBS,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",total,53,18
BMVBS,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",gewaehrt,20,7
BMVBS,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",teilweise_gewaehrt,15,1
BMVBS,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",abgelehnt,6,1
BMVBS,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",sonstige,15,9
BMVBS GB,"Bundesministerium für Verkehr, Bau und Stadtentwicklung (GB)",total,153,11
BMVBS GB,"Bundesministerium für Verkehr, Bau und Stadtentwicklung (GB)",gewaehrt,127,4
BMVBS GB,"Bundesministerium für Verkehr, Bau und Stadtentwicklung (GB)",teilweise_gewaehrt,10,2
BMVBS GB,"Bundesministerium für Verkehr, Bau und Stadtentwicklung (GB)",abgelehnt,5,1
BMVBS GB,"Bundesministerium für Verkehr, Bau und Stadtentwicklung (GB)",sonstige,19,4
BMU,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",total,0,15
BMU,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",gewaehrt,0,4
BMU,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",teilweise_gewaehrt,0,5
BMU,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",abgelehnt,0,1
BMU,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",sonstige,0,5
BMU GB,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit (GB)",total,14,18
BMU GB,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit (GB)",gewaehrt,9,4
BMU GB,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit (GB)",teilweise_gewaehrt,1,5
BMU GB,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit (GB)",abgelehnt,1,2
BMU GB,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit (GB)",sonstige,1,7
BMBF,Bundesministerium für Bildung und Forschung,total,29,7
BMBF,Bundesministerium für Bildung und Forschung,gewaehrt,21,1
BMBF,Bundesministerium für Bildung und Forschung,teilweise_gewaehrt,6,2
BMBF,Bundesministerium für Bildung und Forschung,abgelehnt,10,0
BMBF,Bundesministerium für Bildung und Forschung,sonstige,0,4
BMBF GB,Bundesministerium für Bildung und Forschung (GB),total,0,0
BMBF GB,Bundesministerium für Bildung und Forschung (GB),gewaehrt,0,0
BMBF GB,Bundesministerium für Bildung und Forschung (GB),teilweise_gewaehrt,0,0
BMBF GB,Bundesministerium für Bildung und Forschung (GB),abgelehnt,0,0
BMBF GB,Bundesministerium für Bildung und Forschung (GB),sonstige,0,0
BKM,Beauftragter der Bundesregierung für Kultur und Medien,total,2,1
BKM,Beauftragter der Bundesregierung für Kultur und Medien,gewaehrt,2,0
BKM,Beauftragter der Bundesregierung für Kultur und Medien,teilweise_gewaehrt,2,0
BKM,Beauftragter der Bundesregierung für Kultur und Medien,abgelehnt,0,0
BKM,Beauftragter der Bundesregierung für Kultur und Medien,sonstige,1,1
BKM GB,Beauftragter der Bundesregierung für Kultur und Medien (GB),total,13,2
BKM GB,Beauftragter der Bundesregierung für Kultur und Medien (GB),gewaehrt,6,0
BKM GB,Beauftragter der Bundesregierung für Kultur und Medien (GB),teilweise_gewaehrt,2,0
BKM GB,Beauftragter der Bundesregierung für Kultur und Medien (GB),abgelehnt,1,0
BKM GB,Beauftragter der Bundesregierung für Kultur und Medien (GB),sonstige,3,2
BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,total,21,7
BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,gewaehrt,19,3
BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,teilweise_gewaehrt,0,1
BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,abgelehnt,0,0
BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,sonstige,0,3
BPA,Presse- und Informationsamt der Bundesregierung,total,10,12
BPA,Presse- und Informationsamt der Bundesregierung,gewaehrt,7,5
BPA,Presse- und Informationsamt der Bundesregierung,teilweise_gewaehrt,2,1
BPA,Presse- und Informationsamt der Bundesregierung,abgelehnt,0,0
BPA,Presse- und Informationsamt der Bundesregierung,sonstige,0,6
BPräsA,Bundespräsidialamt,total,14,21
BPräsA,Bundespräsidialamt,gewaehrt,7,2
BPräsA,Bundespräsidialamt,teilweise_gewaehrt,0,0
BPräsA,Bundespräsidialamt,abgelehnt,6,0
BPräsA,Bundespräsidialamt,sonstige,1,19
BT,Deutscher Bundestag,total,90,945
BT,Deutscher Bundestag,gewaehrt,4,659
BT,Deutscher Bundestag,teilweise_gewaehrt,12,52
BT,Deutscher Bundestag,abgelehnt,56,16
BT,Deutscher Bundestag,sonstige,13,218
BBank,Deutsche Bundesbank,total,13,5
BBank,Deutsche Bundesbank,gewaehrt,8,3
BBank,Deutsche Bundesbank,teilweise_gewaehrt,0,0
BBank,Deutsche Bundesbank,abgelehnt,4,0
BBank,Deutsche Bundesbank,sonstige,0,2
BfDI,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,total,20,5
BfDI,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,gewaehrt,16,2
BfDI,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,teilweise_gewaehrt,1,0
BfDI,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,abgelehnt,2,0
BfDI,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,sonstige,0,3
BRH,Bundesrechnungshof,total,25,3
BRH,Bundesrechnungshof,gewaehrt,10,1
BRH,Bundesrechnungshof,teilweise_gewaehrt,3,0
BRH,Bundesrechnungshof,abgelehnt,7,1
BRH,Bundesrechnungshof,sonstige,1,1
